show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,year_added
s90,TV Show,Rolie Polie Olie,Unknown,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France",2021-09-29,1998,TV-Y,5 Seasons,"Animation, Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.,5,Seasons,2021
s91,TV Show,Star Wars Galaxy of Sounds,Unknown,Unknown,Unknown,2021-09-29,2021,TV-PG,1 Season,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",1,Season,2021
s92,TV Show,The Hatcher Family Dairy,Unknown,Unknown,Unknown,2021-09-29,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",1,Season,2021
s93,TV Show,The Simpsons,Unknown,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,2021-09-29,1989,TV-PG,32 Seasons,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",32,Seasons,2021
s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",Unknown,2021-09-24,2021,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,88,min,2021
s95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",2021-09-24,2011,G,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,93,min,2021
s96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,2021-09-24,2014,PG-13,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,127,min,2021
s97,TV Show,Dog: Impossible,Unknown,Matt Beisner,United States,2021-09-22,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,2,Seasons,2021
s98,TV Show,Spidey And His Amazing Friends,Unknown,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,2021-09-22,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,1,Season,2021
s99,TV Show,Star Wars: Visions,Unknown,Unknown,Unknown,2021-09-22,2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,1,Season,2021
s100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,2021-09-17,2009,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,106,min,2021
s101,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",Unknown,2021-09-17,2021,TV-G,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,22,min,2021
